Image composition and style,Artistic license,Major changes,Alternate species,,,,
Image composition and style,Artistic license,Major changes,Animalization,,,,
Image composition and style,Artistic license,Major changes,Foodification,,,,
Image composition and style,Artistic license,Major changes,Furrification,,,,
Image composition and style,Artistic license,Major changes,Humanization,,,,
Image composition and style,Artistic license,Major changes,Mechanization,,,,
Image composition and style,Artistic license,Major changes,Monsterification,,,,
Image composition and style,Artistic license,Major changes,Objectification,,,,
Image composition and style,Artistic license,Major changes,Personification,,,,
Image composition and style,Artistic license,Major changes,Slimification,,,,
Image composition and style,Artistic license,Major changes,Vehicalization,,,,
Image composition and style,Artistic license,Major changes,Zombification,,,,
Image composition and style,Artistic license,Changes of the whole attire,Adapted costume,,,,
Image composition and style,Artistic license,Changes of the whole attire,Alternate costume,,,,
Image composition and style,Artistic license,Changes of the whole attire,Costume switch,,,,
Image composition and style,Artistic license,Changes of the whole attire,Casual,,,,
Image composition and style,Artistic license,Changes of the whole attire,Contemporary,,,,
Image composition and style,Artistic license,Changes of the whole attire,Enmaided,,,,
Image composition and style,Artistic license,Changes of the whole attire,Costume combination,,,,
Image composition and style,Artistic license,Changes of the whole attire,Cosplay,,,,
Image composition and style,Artistic license,Changes of specific clothes or accessories,Alternate headwear,,,,
Image composition and style,Artistic license,Changes of specific clothes or accessories,Alternate weapon,,,,
Image composition and style,Artistic license,Changes of specific clothes or accessories,Bespectacled,,,,
Image composition and style,Artistic license,Changes of specific clothes or accessories,Headwear switch,,,,
Image composition and style,Artistic license,Changes of specific clothes or accessories,No eyewear,,,,
Image composition and style,Artistic license,Changes of specific clothes or accessories,No headwear,,,,
Image composition and style,Artistic license,Changes of specific clothes or accessories,No legwear,,,,
Image composition and style,Artistic license,Changes of specific clothes or accessories,No mask,,,,
Image composition and style,Artistic license,Changes of specific clothes or accessories,No earrings,,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,Alternate breast size,,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,Alternate breast size (larger),,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,Alternate breast size (smaller),,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,Alternate body size,,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,Alternate wings,,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,Alternate skin color,,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,Kemonomimi mode,,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,No animal ears,,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,No facial mark,,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,No fire,,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,No horns,,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,No tail,,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,No tattoo,,,,
Image composition and style,Artistic license,Changes of body parts other than hair and eyes,No wings,,,,
Image composition and style,Artistic license,Changes of hair,Alternate hair color,,,,
Image composition and style,Artistic license,Changes of hair,Hair color switch,,,,
Image composition and style,Artistic license,Changes of hair,Alternate hairstyle,,,,
Image composition and style,Artistic license,Changes of hair,Hair down,,,,
Image composition and style,Artistic license,Changes of hair,Hair up,,,,
Image composition and style,Artistic license,Changes of hair,Alternate hair length,,,,
Image composition and style,Artistic license,Changes of eyes,Alternate eye color,,,,
Image composition and style,Artistic license,Changes of eyes,Eye color switch,,,,
Image composition and style,Artistic license,Changes of eyes,Unusually open eyes,,,,
Image composition and style,Artistic license,Changes of personality and roles,Out of character,,,,
Image composition and style,Artistic license,Changes of personality and roles,Personality switch,,,,
Image composition and style,Artistic license,Changes of personality and roles,Role reversal,,,,
Image composition and style,Artistic license,Changes of personality and roles,Dark persona,,,,
Image composition and style,Artistic license,Changes of personality and roles,Light persona,,,,
Image composition and style,Artistic license,Changes of overall colors,Alternate color,,,,
Image composition and style,Artistic license,Changes of overall colors,Alternate element,,,,
Image composition and style,Artistic license,Changes of overall colors,Palette swap,,,,
Image composition and style,Artistic license,Changes of overall colors,Player 2,,,,
Image composition and style,Artistic license,Changes of age,Age comparison,,,,
Image composition and style,Artistic license,Changes of age,Age progression,,,,
Image composition and style,Artistic license,Changes of age,Aged down,,,,
Image composition and style,Artistic license,Changes of age,Aged up,,,,
Image composition and style,Artistic license,Other changes,Character doll,,,,
Image composition and style,Artistic license,Other changes,Fusion,,,,
Image composition and style,Artistic license,Other changes,Genderswap,,,,
Image composition and style,Artistic license,Other changes,Genderswap (MTF),,,,
Image composition and style,Artistic license,Other changes,Genderswap (FTM),,,,
Image composition and style,Artistic license,Other changes,If they mated,,,,
Image composition and style,Artistic license,Other changes,Alternate universe,,,,
Image composition and style,Image composition,Perspective/Depth,Atmospheric perspective,,,,
Image composition and style,Image composition,Perspective/Depth,Fisheye,,,,
Image composition and style,Image composition,Perspective/Depth,Panorama,,,,
Image composition and style,Image composition,Perspective/Depth,Perspective,,,,
Image composition and style,Image composition,Perspective/Depth,Vanishing point,,,,
Image composition and style,Image composition,Perspective/Depth,Variations,,,,
Image composition and style,Image composition,Composition,Afterimage,,,,
Image composition and style,Image composition,Composition,Border,,,,
Image composition and style,Image composition,Composition,Border,Fading border,,,
Image composition and style,Image composition,Composition,Border,Inset border,,,
Image composition and style,Image composition,Composition,Border,Ornate border,,,
Image composition and style,Image composition,Composition,Border,Outside border,,,
Image composition and style,Image composition,Composition,Border,Rounded corners,,,
Image composition and style,Image composition,Composition,Border,Viewfinder,,,
Image composition and style,Image composition,Composition,Chart,,,,
Image composition and style,Image composition,Composition,Chart,Bust chart,,,
Image composition and style,Image composition,Composition,Chart,Character chart,,,
Image composition and style,Image composition,Composition,Chart,Reference sheet,,,
Image composition and style,Image composition,Composition,Chart,Diagram,,,
Image composition and style,Image composition,Composition,Chart,Move chart,,,
Image composition and style,Image composition,Composition,Chart,Relationship graph,,,
Image composition and style,Image composition,Composition,Chart,Seating chart,,,
Image composition and style,Image composition,Composition,Chart,Stats,,,
Image composition and style,Image composition,Composition,Collage,,,,
Image composition and style,Image composition,Composition,Column lineup,,,,
Image composition and style,Image composition,Composition,Diorama,,,,
Image composition and style,Image composition,Composition,From outside,,,,
Image composition and style,Image composition,Composition,Glitch,,,,
Image composition and style,Image composition,Composition,Isometric,,,,
Image composition and style,Image composition,Composition,Letterboxed,,,,
Image composition and style,Image composition,Composition,Letterboxed,Pillarboxed,,,
Image composition and style,Image composition,Composition,Lineup,,,,
Image composition and style,Image composition,Composition,Mosaic art,,,,
Image composition and style,Image composition,Composition,Mosaic art,Photomosaic,,,
Image composition and style,Image composition,Composition,Negative space,,,,
Image composition and style,Image composition,Composition,Omake,,,,
Image composition and style,Image composition,Composition,Out of frame,,,,
Image composition and style,Image composition,Composition,Out of frame,Fake scrollbar,,,
Image composition and style,Image composition,Composition,Out of frame,Out-of-frame censoring,,,
Image composition and style,Image composition,Composition,Out of frame,Outside border,,,
Image composition and style,Image composition,Composition,Partially underwater shot,,,,
Image composition and style,Image composition,Composition,POV,,,,
Image composition and style,Image composition,Composition,Social media composition,,,,
Image composition and style,Image composition,Composition,Symmetry,,,,
Image composition and style,Image composition,Composition,Symmetry,Polar opposites,,,
Image composition and style,Image composition,Composition,Symmetry,Rotational symmetry,,,
Image composition and style,Image composition,Composition,Tachi-e,,,,
Image composition and style,Image composition,Composition,Trim marks,,,,
Image composition and style,Image composition,Composition,Zoom layer,,,,
Image composition and style,Image composition,Composition,Zoom layer,Projected inset,,,
Image composition and style,Image composition,Format,3D,,,,
Image composition and style,Image composition,Format,Animated,,,,
Image composition and style,Image composition,Format,Animated,Animated GIF,,,
Image composition and style,Image composition,Format,Animated,EasyToon,,,
Image composition and style,Image composition,Format,Animated,FlipaClip,,,
Image composition and style,Image composition,Format,Animated,Non-repeating animation,,,
Image composition and style,Image composition,Format,Animated,Animated PNG,,,
Image composition and style,Image composition,Format,Animated,Flash,,,
Image composition and style,Image composition,Format,Animated,Live2D,,,
Image composition and style,Image composition,Format,Animated,Video,,,
Image composition and style,Image composition,Format,Animated,Music video,,,
Image composition and style,Image composition,Format,Animated,Looping animation,,,
Image composition and style,Image composition,Format,Animated,Roulette animation,,,
Image composition and style,Image composition,Format,Anime screenshot,,,,
Image composition and style,Image composition,Format,Archived file,,,,
Image composition and style,Image composition,Format,Artbook,,,,
Image composition and style,Image composition,Format,Calendar (medium),,,,
Image composition and style,Image composition,Format,Card (medium),,,,
Image composition and style,Image composition,Format,Comic,,,,
Image composition and style,Image composition,Format,Comic,1koma,,,
Image composition and style,Image composition,Format,Comic,2koma,,,
Image composition and style,Image composition,Format,Comic,3koma,,,
Image composition and style,Image composition,Format,Comic,4koma,,,
Image composition and style,Image composition,Format,Comic,Multiple 4koma,,,
Image composition and style,Image composition,Format,Comic,5koma,,,
Image composition and style,Image composition,Format,Comic,Borderless panels,,,
Image composition and style,Image composition,Format,Comic,Manga,,,
Image composition and style,Image composition,Format,Comic,Left-to-right manga,,,
Image composition and style,Image composition,Format,Comic,Right-to-left comic,,,
Image composition and style,Image composition,Format,Comic,Silent comic,,,
Image composition and style,Image composition,Format,Corrupted file,,,,
Image composition and style,Image composition,Format,Corrupted file,Corrupted Twitter file,,,
Image composition and style,Image composition,Format,Cover,,,,
Image composition and style,Image composition,Format,Cover,Album cover,,,
Image composition and style,Image composition,Format,Cover,Character single,,,
Image composition and style,Image composition,Format,Cover,Cover page,,,
Image composition and style,Image composition,Format,Cover,Doujin cover,,,
Image composition and style,Image composition,Format,Cover,DVD cover,,,
Image composition and style,Image composition,Format,Cover,Fake cover,,,
Image composition and style,Image composition,Format,Cover,Magazine cover,,,
Image composition and style,Image composition,Format,Cover,Manga cover,,,
Image composition and style,Image composition,Format,Cover,Video game cover,,,
Image composition and style,Image composition,Format,Fake screenshot,,,,
Image composition and style,Image composition,Format,Fake screenshot,Fake phone screenshot,,,
Image composition and style,Image composition,Format,Game CG,,,,
Image composition and style,Image composition,Format,Game screenshot,,,,
Image composition and style,Image composition,Format,Gyotaku (medium),,,,
Image composition and style,Image composition,Format,Highres,,,,
Image composition and style,Image composition,Format,Absurdres,,,,
Image composition and style,Image composition,Format,Incredibly absurdres,,,,
Image composition and style,Image composition,Format,Lowres,,,,
Image composition and style,Image composition,Format,Icon,,,,
Image composition and style,Image composition,Format,Icon,Logo,,,
Image composition and style,Image composition,Format,Kirigami,,,,
Image composition and style,Image composition,Format,Lineart,,,,
Image composition and style,Image composition,Format,No lineart,,,,
Image composition and style,Image composition,Format,Outline,,,,
Image composition and style,Image composition,Format,Mosaic art,,,,
Image composition and style,Image composition,Format,Photomosaic,,,,
Image composition and style,Image composition,Format,Oekaki,,,,
Image composition and style,Image composition,Format,Official art,,,,
Image composition and style,Image composition,Format,Phonecard,,,,
Image composition and style,Image composition,Format,Photo,,,,
Image composition and style,Image composition,Format,Photo,Papercraft,,,
Image composition and style,Image composition,Format,Photo,Paper child,,,
Image composition and style,Image composition,Format,Photo,Paper cutout,,,
Image composition and style,Image composition,Format,Pixel art,,,,
Image composition and style,Image composition,Format,Postcard,,,,
Image composition and style,Image composition,Format,Poster,,,,
Image composition and style,Image composition,Format,Revision,,,,
Image composition and style,Image composition,Format,Revision,Has bad revision,,,
Image composition and style,Image composition,Format,Revision,Has bad revision,Has adversarial noise revision,,
Image composition and style,Image composition,Format,Revision,Has bad revision,Has artifacted revision,,
Image composition and style,Image composition,Format,Revision,Has bad revision,Has censored revision,,
Image composition and style,Image composition,Format,Revision,Has bad revision,Has cropped revision,,
Image composition and style,Image composition,Format,Revision,Has bad revision,Has downscaled revision,,
Image composition and style,Image composition,Format,Revision,Has bad revision,Has lossy revision,,
Image composition and style,Image composition,Format,Revision,Has bad revision,Has watermarked revision,,
Image composition and style,Image composition,Format,Scan,,,,
Image composition and style,Image composition,Format,Shitajiki,,,,
Image composition and style,Image composition,Format,Tall image,,,,
Image composition and style,Image composition,Format,Tegaki,,,,
Image composition and style,Image composition,Format,Transparent background,,,,
Image composition and style,Image composition,Format,Triptych (art),,,,
Image composition and style,Image composition,Format,Thumbnail collage,,,,
Image composition and style,Image composition,Format,Vector trace,,,,
Image composition and style,Image composition,Format,Wallpaper,,,,
Image composition and style,Image composition,Format,Wallpaper,Official wallpaper,,,
Image composition and style,Image composition,Format,Wallpaper,Tileable,,,
Image composition and style,Image composition,Format,Wallpaper,Wallpaper forced,,,
Image composition and style,Image composition,Format,Wallpaper,Widescreen,,,
Image composition and style,Image composition,Format,Wide image,,,,
Image composition and style,Image composition,Subject Matter,AI-generated,,,,
Image composition and style,Image composition,Subject Matter,Cityscape,,,,
Image composition and style,Image composition,Subject Matter,Everyone,,,,
Image composition and style,Image composition,Subject Matter,Everyone,Absolutely everyone,,,
Image composition and style,Image composition,Subject Matter,Group picture,,,,
Image composition and style,Image composition,Subject Matter,Iei,,,,
Image composition and style,Image composition,Subject Matter,Landscape,,,,
Image composition and style,Image composition,Subject Matter,Nature,,,,
Image composition and style,Image composition,Subject Matter,No humans,,,,
Image composition and style,Image composition,Subject Matter,Off-topic,,,,
Image composition and style,Image composition,Subject Matter,Scenery,,,,
Image composition and style,Image composition,Subject Matter,Still life,,,,
Image composition and style,Image composition,Focus Tags,Animal focus,,,,
Image composition and style,Image composition,Focus Tags,Armpit focus,,,,
Image composition and style,Image composition,Focus Tags,Ass focus,,,,
Image composition and style,Image composition,Focus Tags,Back focus,,,,
Image composition and style,Image composition,Focus Tags,Book focus,,,,
Image composition and style,Image composition,Focus Tags,Breast focus,,,,
Image composition and style,Image composition,Focus Tags,Cloud focus,,,,
Image composition and style,Image composition,Focus Tags,Eye focus,,,,
Image composition and style,Image composition,Focus Tags,Food focus,,,,
Image composition and style,Image composition,Focus Tags,Foot focus,,,,
Image composition and style,Image composition,Focus Tags,Hand focus,,,,
Image composition and style,Image composition,Focus Tags,Hip focus,,,,
Image composition and style,Image composition,Focus Tags,Male focus,,,,
Image composition and style,Image composition,Focus Tags,Monster focus,,,,
Image composition and style,Image composition,Focus Tags,Navel focus,,,,
Image composition and style,Image composition,Focus Tags,Object focus,,,,
Image composition and style,Image composition,Focus Tags,Other focus,,,,
Image composition and style,Image composition,Focus Tags,Plant focus,,,,
Image composition and style,Image composition,Focus Tags,Pectoral focus,,,,
Image composition and style,Image composition,Focus Tags,Penis focus,,,,
Image composition and style,Image composition,Focus Tags,Solo focus,,,,
Image composition and style,Image composition,Focus Tags,Vehicle focus,,,,
Image composition and style,Image composition,Focus Tags,Text focus,,,,
Image composition and style,Image composition,Focus Tags,Thigh focus,,,,
Image composition and style,Image composition,Focus Tags,Weapon focus,,,,
Image composition and style,Image composition,Focus Tags,Vehicle focus,,,,
Image composition and style,Image composition,Focus Tags,Wind chime focus,,,,
Image composition and style,Image composition,Framing the body,Portrait,,,,
Image composition and style,Image composition,Framing the body,Upper body,,,,
Image composition and style,Image composition,Framing the body,Cowboy shot,,,,
Image composition and style,Image composition,Framing the body,Feet out of frame,,,,
Image composition and style,Image composition,Framing the body,Full body,,,,
Image composition and style,Image composition,Framing the body,Wide shot,,,,
Image composition and style,Image composition,Framing the body,Very wide shot,,,,
Image composition and style,Image composition,Framing the body,Lower body,,,,
Image composition and style,Image composition,Framing the body,Head out of frame,,,,
Image composition and style,Image composition,Framing the body,Eyes out of frame,,,,
Image composition and style,Image composition,Framing the body,Arm out of frame,,,,
Image composition and style,Image composition,Framing the body,Foot out of frame,,,,
Image composition and style,Image composition,Framing the body,Other framing tags,Close-up,,,
Image composition and style,Image composition,Framing the body,Other framing tags,Cropped legs,,,
Image composition and style,Image composition,Framing the body,Other framing tags,Cropped torso,,,
Image composition and style,Image composition,Framing the body,Other framing tags,Cropped arms,,,
Image composition and style,Image composition,Framing the body,Other framing tags,Cropped shoulders,,,
Image composition and style,Image composition,Framing the body,Other framing tags,Cropped head,,,
Image composition and style,Image composition,Framing the body,Other framing tags,Cut-in,,,
Image composition and style,Image composition,Framing the body,Other framing tags,Profile,,,
Image composition and style,Image composition,Framing the body,Other framing tags,Group profile,,,
Image composition and style,Image composition,Framing the body,Other framing tags,Split crop,,,
Image composition and style,Image composition,Styles,Abstract,,,,
Image composition and style,Image composition,Styles,Art Deco,,,,
Image composition and style,Image composition,Styles,Art Nouveau,,,,
Image composition and style,Image composition,Styles,Fake photograph,,,,
Image composition and style,Image composition,Styles,Fine art parody,,,,
Image composition and style,Image composition,Styles,Flame painter,,,,
Image composition and style,Image composition,Styles,Impressionism,,,,
Image composition and style,Image composition,Styles,Ligne claire,,,,
Image composition and style,Image composition,Styles,Minimalism,,,,
Image composition and style,Image composition,Styles,Nihonga,,,,
Image composition and style,Image composition,Styles,Sumi-e,,,,
Image composition and style,Image composition,Styles,Ukiyo-e,,,,
Image composition and style,Image composition,Styles,Painterly,,,,
Image composition and style,Image composition,Styles,Realistic,,,,
Image composition and style,Image composition,Styles,Photorealistic,,,,
Image composition and style,Image composition,Styles,Sketch,,,,
Image composition and style,Image composition,Styles,Surreal,,,,
Image composition and style,Image composition,Styles,Traditional Media,Faux traditional media,,,
Image composition and style,Image composition,Styles,Traditional Media,acrylic paint (medium),,,
Image composition and style,Image composition,Styles,Traditional Media,airbrush (medium),,,
